din Evdw
3.13 9.08
3.16 5.41
3.20 2.20
3.23 -0.59
3.26 -3.0
3.30 -5.08
3.33 -6.86
3.37 -8.36
3.40 -9.62
3.44 -10.65
3.47 -11.49
3.5 -12.16
3.54 -12.67
3.61 -13.29
3.64 -13.43
3.67 -13.48
3.71 -13.44
3.74 -13.33
3.78 -13.16
3.81 -12.94
3.85 -12.67
3.88 -12.37
3.91 -12.04
3.95 -11.70
3.98 -11.34
4.02 -10.98
4.05 -10.62
4.08 -10.26
4.12 -9.91
